category_id,views,likes,dislikes,comment_total,date
28,3970421,107888,3861,22556,15.09
24,21421,166,28,92,15.09
23,219193,7936,165,1008,15.09
25,517133,14122,1718,2237,15.09
10,54377,3602,73,660,15.09
25,8418,20,94,59,15.09
24,166176,2921,49,404,15.09
10,172189,980,10,125,15.09
23,1268813,13834,670,1251,15.09
24,83356,608,32,70,15.09
23,186264,7703,544,1421,15.09
26,1360621,85965,1959,14243,15.09
22,195726,19447,34,1449,15.09
24,131335,11843,65,937,15.09
1,71187,390,5,27,15.09
10,64584,6610,52,391,15.09
22,129102,2432,295,1314,15.09
28,545072,25553,585,3016,15.09
1,1879131,43783,737,4341,15.09
24,139837,299,63,210,15.09
24,1704887,31922,1348,5073,15.09
24,625573,42524,653,9323,15.09
17,170124,2614,68,369,15.09
22,22975,22,1,40,15.09
10,2453843,104520,7808,7083,15.09
24,431464,10379,628,1025,15.09
10,30563,192,3,21,15.09
24,52532,1340,5,131,15.09
19,205267,8686,118,1976,15.09
28,868054,24364,976,4644,15.09
17,495762,6520,252,2910,15.09
10,181104,6500,101,375,15.09
10,86623,1924,48,213,15.09
23,944026,40807,672,3650,15.09
10,78103,387,30,29,15.09
22,2782871,203997,1054,16847,15.09
28,3572241,86493,9501,22016,15.09
10,185529,9801,297,1009,15.09
26,686662,35138,321,4762,15.09
24,483683,20265,450,1888,15.09
2,15681,57,0,9,15.09
1,1494086,35533,1135,5328,15.09
28,927303,38322,1099,3667,15.09
26,21083,1115,18,156,15.09
22,1755094,79451,1038,6290,15.09
10,165983,7999,124,759,15.09
23,1271855,43039,986,1955,15.09
10,444082,40292,530,4308,15.09
23,180370,14836,247,3052,15.09
25,25122,205,29,66,15.09
28,1297760,5693,1625,3561,15.09
10,213820,5137,743,766,15.09
26,648273,28646,845,2352,15.09
1,3165464,10556,446,1616,15.09
23,96381,3045,458,419,15.09
10,18335,269,4,62,15.09
1,1985761,78518,1879,3926,15.09
22,75427,1558,63,186,15.09
10,1379413,55269,694,4383,15.09
10,46955,1685,262,648,15.09
20,27429,430,15,363,15.09
10,48562,2268,36,137,15.09
27,896164,23663,911,3139,15.09
10,124487,4471,307,617,15.09
24,342410,25617,387,2360,15.09
17,12208330,411682,8567,21046,15.09
19,41169,178,6,79,15.09
26,43981,7258,37,1537,15.09
24,282915,8924,209,942,15.09
10,654311,65224,392,4188,15.09
24,1004055,46870,817,5114,15.09
2,104166,152,39,36,15.09
26,650931,19203,309,2088,15.09
1,1546536,36722,1111,6460,15.09
15,77810,4298,16,419,15.09
26,490309,19610,386,3079,15.09
1,263630,4451,169,666,15.09
2,1072349,20846,1260,8703,15.09
24,3689337,69240,4547,9039,15.09
24,78220,2053,41,121,15.09
24,1424830,54077,1848,4710,15.09
27,46574,1530,36,251,15.09
25,234972,501,798,684,15.09
26,247504,14354,156,1554,15.09
10,287672,24003,168,2502,15.09
24,12954,0,0,0,15.09
28,32056,1051,27,153,15.09
24,151594,1214,65,239,15.09
22,88235,4752,62,395,15.09
26,95900,6507,67,726,15.09
1,971242,26435,748,1055,15.09
22,999412,29142,616,6399,15.09
22,118315,131,27,72,15.09
26,3012697,103685,1534,7761,15.09
20,240887,4015,196,1307,15.09
26,554486,26842,262,3918,15.09
26,36740,2649,23,206,15.09
24,17577,1654,12,160,15.09
22,188410,546,14,0,15.09
10,69071,148,5,33,15.09
26,64817,2682,92,511,15.09
25,267907,1072,184,0,15.09
10,406343,12581,213,471,15.09
22,186965,16782,81,1249,15.09
26,422306,22594,249,3845,15.09
28,33997,180,10,67,15.09
10,1465819,75284,1188,4244,15.09
10,32489,3979,12,258,15.09
23,76023,6729,84,441,15.09
29,56311,0,0,0,15.09
25,298016,5118,46,754,15.09
23,1968008,40143,2033,4709,15.09
1,49254,2668,117,547,15.09
22,169585,10610,63,1109,15.09
2,132165,638,48,140,15.09
2,682207,3589,1652,954,15.09
23,686381,36812,1322,15557,15.09
26,294571,17028,285,1634,15.09
24,5287771,19798,2919,2275,15.09
17,335308,3947,105,661,15.09
23,18744,1830,46,264,15.09
10,301893,12305,332,1094,15.09
22,5027180,110390,2363,12177,15.09
23,51785,4965,13,679,15.09
26,156899,10461,143,1203,15.09
25,1178955,15427,1003,4730,15.09
24,3101709,19954,773,6239,15.09
24,65718,159,258,278,15.09
28,154746,2186,102,467,15.09
25,368018,3531,24306,6466,15.09
10,61933,4848,137,699,15.09
17,4906976,2473,1582,36,15.09
1,216713,5329,60,471,15.09
24,389363,16146,648,1686,15.09
25,489523,954,139,602,15.09
28,34255,149,11,85,15.09
27,361683,19006,122,1128,15.09
27,282594,13479,235,1461,15.09
10,518533,5847,290,413,15.09
1,574541,6854,129,982,15.09
23,1516624,76278,1541,3989,15.09
10,143859,5489,126,361,15.09
28,2813499,29658,2316,7275,15.09
22,2751415,131470,1174,9680,15.09
22,5952,209,14,29,15.09
24,109331,2870,101,537,15.09
27,5502137,35892,13695,4523,15.09
28,2223,261,0,31,15.09
26,437796,20699,312,2277,15.09
10,201901,10034,148,591,15.09
20,119730,5533,73,693,15.09
17,140494,391,7,27,15.09
25,28768,850,41,274,15.09
26,208370,6608,151,393,15.09
10,10851,1023,8,111,15.09
27,59706,365,12,45,15.09
26,1738837,86547,1065,7331,15.09
25,585176,3334,1342,6369,16.09
10,4085560,198696,11446,21514,16.09
23,290939,6341,1613,1053,16.09
24,436361,7828,854,1188,16.09
25,616112,1207,436,1551,16.09
24,2167963,49804,4472,15358,16.09
28,1302666,22810,3615,5460,16.09
23,408822,3964,1156,1227,16.09
1,1040038,12692,978,2083,16.09
24,209816,2672,204,256,16.09
23,3542861,323439,5411,21570,16.09
24,713391,3204,143,582,16.09
10,374344,42116,229,6046,16.09
22,122900,8278,278,1987,16.09
24,238746,9567,169,991,16.09
25,347928,16829,527,2111,16.09
26,208156,12671,173,1688,16.09
23,2333182,155627,1463,18215,16.09
23,1681290,79888,810,20228,16.09
22,2473453,115156,1149,8206,16.09
22,251986,11494,163,1768,16.09
23,346500,9275,1606,1653,16.09
24,2137663,50615,1001,1655,16.09
28,2206069,66696,557,5332,16.09
10,171110,14306,111,1028,16.09
22,514723,18926,1044,2429,16.09
22,322790,6531,1718,1406,16.09
24,308063,950,547,947,16.09
25,64374,359,139,910,16.09
10,1173691,64045,1667,3646,16.09
10,132079,3440,142,244,16.09
26,656980,22667,419,3212,16.09
28,2138396,22501,4440,6835,16.09
10,1429515,232107,626,26197,16.09
23,1170082,35833,469,4710,16.09
26,693376,58213,729,8910,16.09
22,87663,9897,81,676,16.09
10,11494007,956288,10369,125246,16.09
1,1133919,41128,269,1966,16.09
28,91673,3258,55,349,16.09
10,1314571,96802,1556,9813,16.09
26,564319,23238,447,2126,16.09
22,1538991,33124,1071,5084,16.09
10,222677,15266,314,1019,16.09
26,745209,53345,378,3828,16.09
28,566224,31738,583,4296,16.09
22,454734,49951,168,3935,16.09
26,323077,13862,520,2221,16.09
28,45382,1268,7,146,16.09
17,254289,8443,366,309,16.09
25,15616,26,129,92,16.09
26,1257169,75023,882,11988,16.09
10,39638,246,2,25,16.09
25,35272,299,43,366,16.09
23,4789657,59921,1247,3796,16.09
10,79717,2793,96,298,16.09
24,296325,14903,555,1540,16.09
22,362844,30831,140,5376,16.09
24,293148,1315,1597,1094,16.09
1,999381,11123,784,2211,16.09
22,840615,9275,820,850,16.09
27,138512,5910,778,930,16.09
10,3735099,247833,3871,24307,16.09
25,162699,471,511,1287,16.09
24,1943149,71749,1593,9973,16.09
26,86655,3896,96,511,16.09
24,130074,4776,73,374,16.09
10,140404,9708,45,440,16.09
24,33686,200,33,133,16.09
10,97595,4829,200,648,16.09
23,1155840,48018,916,2990,16.09
10,142282,9672,111,509,16.09
24,384135,7137,240,645,16.09
10,12924,944,7,77,16.09
28,18082737,359392,64933,0,16.09
10,68044,11632,30,634,16.09
26,591039,26543,585,3046,16.09
1,112174,499,5,41,16.09
10,88087,4447,96,800,16.09
10,141997,2399,111,568,16.09
26,113565,7870,37,569,16.09
15,2162054,45015,917,7757,16.09
24,5997736,366401,22885,39626,16.09
24,99739,683,35,78,16.09
28,4489199,34622,7120,12812,16.09
24,395376,7594,428,1053,16.09
22,142583,2577,334,1398,16.09
10,47399,245,4,30,16.09
2,107072,335,6,34,16.09
24,63124,1481,6,148,16.09
2,14327,500,3,43,16.09
22,630887,8478,164,587,16.09
24,152008,316,63,272,16.09
17,172466,6592,234,590,16.09
23,257919,8634,179,1079,16.09
27,79920,5028,72,630,16.09
22,187405,2912,98,417,16.09
24,219423,3294,56,495,16.09
23,2846092,152496,1645,8941,16.09
26,50981,3376,42,330,16.09
22,8002631,672775,52253,128771,16.09
23,707295,3286,808,1274,16.09
24,200657,15624,96,1260,16.09
24,446140,10480,638,1090,16.09
26,27935,1361,22,206,16.09
26,1463155,90329,2104,14662,16.09
10,69693,1987,328,757,16.09
28,703033,30469,762,3693,16.09
10,146782,637,52,65,16.09
24,2036524,36292,1486,4335,16.09
10,3058570,116464,8998,7885,16.09
10,225692,7364,128,467,16.09
17,190020,2761,82,415,16.09
1,2047674,45956,823,3534,16.09
10,105494,2272,52,303,16.09
24,650478,43748,678,9616,16.09
10,507320,42844,553,4567,16.09
26,59733,3195,15,228,16.09
10,82625,15128,64,2344,16.09
19,232764,9435,138,2092,16.09
10,179986,1016,13,141,16.09
28,916980,25042,1009,4799,16.09
2,146236,188,50,95,16.09
23,197056,15810,265,3230,16.09
17,529834,6842,266,3055,16.09
23,1119164,44538,736,3150,16.09
10,213446,8965,146,829,16.09
26,287267,17652,277,2029,16.09
26,762446,37871,340,3578,16.09
28,4047407,93363,10688,19783,16.09
22,2970992,212293,1089,17391,16.09
24,519986,21285,485,1597,16.09
10,286237,14805,159,1294,16.09
1,1584633,36839,1191,4421,16.09
22,1825387,81519,1065,4470,16.09
28,1072359,41380,1225,3903,16.09
23,1355374,44935,1047,2096,16.09
28,1423205,6017,1724,2817,16.09
10,255271,5630,797,653,16.09
10,248158,11312,378,1169,16.09
26,51357,7892,44,1633,16.09
22,24817,22,1,101,16.09
22,217417,20907,35,1584,16.09
24,16405,0,0,0,16.09
1,3306664,11439,488,1748,16.09
2,123746,1238,99,91,16.09
17,12912064,422911,8965,21513,16.09
26,679543,29584,872,2118,16.09
10,152026,4878,350,695,16.09
10,68332,2777,41,193,16.09
10,1553895,58282,788,4556,16.09
1,2120100,82510,1997,4192,16.09
10,804340,73825,461,4530,16.09
24,35011,1262,62,421,16.09
10,66685,5936,21,311,16.09
22,83119,1695,66,235,16.09
24,365116,26710,392,2476,16.09
27,961827,24567,961,2753,16.09
26,100016,6696,78,679,16.09
19,67156,182,7,94,16.09
24,1496784,61212,1247,6124,16.09
24,305803,9581,216,995,16.09
24,105350,2208,48,125,16.09
23,100118,3156,466,429,16.09
25,26481,215,29,81,16.09
28,205498,12930,209,2479,16.09
20,30846,453,17,435,16.09
28,59135,1604,36,183,16.09
25,403747,1586,298,767,16.09
1,292661,4704,187,632,16.09
10,103179,169,5,81,16.09
15,95741,4749,20,487,16.09
1,1596548,37556,1144,6731,16.09
22,94842,5011,69,438,16.09
26,536693,20794,419,3367,16.09
10,43252,7930,20,826,16.09
10,20931,302,4,79,16.09
10,18089,1157,13,124,16.09
26,265660,14984,164,1378,16.09
27,52941,1719,38,319,16.09
2,1136677,21584,1318,8985,16.09
24,209132,1608,83,250,16.09
24,1667035,58956,1989,5079,16.09
10,355558,26495,181,2266,16.09
24,3794392,70200,4587,9142,16.09
